Institution Name,Average,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Carnegie Mellon University,4,3,3,5,7,7,6,3,4,4,5,6,7,1,6,3,1,0,0,1,,,,,,
University of Delaware,6,11,7,12,5,8,3,9,3,1,7,4,,,,,,,,,,,,,,
Stanford University,7,9,8,3,10,12,6,7,5,7,4,8,13,5,4,2,7,8,8,6,5,7,10,4,7,8
University of Southern California,7,10,6,8,7,7,6,8,5,10,7,12,10,9,10,6,2,8,9,10,7,7,7,2,3,3
Northwestern University,7,13,9,8,6,8,7,8,14,8,5,8,11,7,15,10,6,7,7,3,3,4,7,2,5,3
Yale University,8,11,7,7,7,7,8,9,7,8,5,15,10,6,8,7,8,9,12,3,5,11,5,4,9,9
Rice University,9,11,12,7,10,5,7,6,7,15,8,15,14,8,6,15,10,9,9,6,7,8,14,6,2,8
University of New Mexico-Main Campus,10,7,10,19,14,11,22,18,19,16,15,16,11,15,17,6,7,8,3,4,9,5,6,0,1,3
Michigan State University,11,11,9,20,17,14,18,21,19,10,17,13,11,15,18,12,8,7,3,1,6,3,4,3,2,3
University of Pennsylvania,11,12,12,14,9,14,6,10,14,14,13,7,11,7,21,11,14,9,12,9,6,13,6,7,10,5
Harvard University,11,13,9,12,14,15,11,5,13,7,12,13,10,13,9,11,13,9,14,13,12,15,9,10,7,0
New York University,11,5,4,3,3,15,14,10,17,8,21,19,17,11,23,15,15,11,9,16,21,5,9,7,5,0
Cornell University,12,14,20,16,15,9,11,16,13,12,13,11,15,10,9,9,13,6,14,10,16,12,10,9,6,12
Purdue University-Main Campus,13,8,15,9,20,15,9,9,16,12,15,17,10,,,,,,,,,,,,,
University of Wisconsin-Madison,14,22,16,13,20,12,13,13,17,21,24,17,21,19,11,12,20,17,12,8,8,10,16,7,6,7
University of Kansas,16,15,18,16,15,21,24,27,24,26,19,28,31,16,14,16,11,10,9,10,3,9,11,7,9,3
University of Illinois Urbana-Champaign,16,17,24,30,23,27,30,25,21,17,17,12,11,14,19,26,19,15,5,6,9,8,10,7,10,3
Boston University,16,20,28,19,14,11,19,14,22,20,29,20,24,14,27,15,17,15,24,12,10,5,11,4,2,16
University of Chicago,17,13,21,30,22,21,26,19,23,19,19,13,22,19,18,19,21,12,19,13,11,11,6,9,5,6
Indiana University-Bloomington,17,23,18,35,19,14,25,22,26,29,29,32,20,19,12,12,22,9,13,5,4,7,7,9,4,4
CUNY Queens College,17,16,15,21,15,26,16,27,30,27,21,18,18,15,18,9,12,9,5,20,8,17,18,18,20,13
University of Minnesota-Twin Cities,18,13,20,23,19,26,17,25,22,27,24,35,35,28,12,15,18,22,19,15,2,10,5,7,7,9
University of Iowa,18,16,10,24,25,22,16,18,20,19,24,32,32,20,24,20,19,14,20,19,10,19,11,8,4,11
San Diego State University,19,17,24,21,33,24,33,28,22,32,28,15,30,14,17,15,9,18,10,16,13,13,18,14,7,11
University of Maryland-College Park,20,26,17,21,28,20,22,25,22,29,25,25,26,27,26,24,24,19,17,18,17,11,9,13,0,10
Georgetown University,21,23,17,28,23,24,29,29,32,21,26,29,17,18,24,21,29,21,8,23,13,5,19,18,8,10
University of Oregon,21,25,28,17,33,17,22,22,22,30,27,24,43,24,23,25,21,12,13,14,9,13,13,16,19,13
University of Georgia,22,37,35,30,22,36,33,33,44,24,35,42,24,23,23,27,14,12,12,5,13,11,7,5,3,1
Rutgers University-New Brunswick,22,39,35,32,43,27,33,33,35,32,36,33,22,21,26,17,15,17,12,12,7,5,7,10,4,5
University of Massachusetts-Amherst,24,44,39,39,40,28,40,28,36,40,33,31,30,28,17,16,12,19,12,17,11,9,5,4,9,5
University of Colorado Boulder,25,29,28,36,28,32,28,31,34,21,35,36,37,31,36,35,30,22,18,18,10,9,8,9,11,4
Stony Brook University,30,39,63,39,43,56,36,44,36,44,35,30,38,30,22,24,31,15,14,22,26,15,1,22,15,15
University of Arizona,31,26,29,22,26,30,39,51,44,42,46,40,51,40,34,28,37,40,24,28,25,23,12,12,9,10
Ohio State University-Main Campus,31,36,41,48,44,38,25,35,33,55,36,36,53,39,36,28,29,19,33,19,16,18,20,6,14,13
University of California-Santa Cruz,33,44,43,33,37,27,43,41,48,53,54,51,37,40,30,23,41,35,23,19,18,21,18,13,21,9
University of Michigan-Ann Arbor,33,24,30,27,37,25,34,29,31,41,50,43,39,51,43,43,47,36,37,31,28,23,20,35,9,11
University of California-Santa Barbara,36,71,61,67,46,51,38,55,43,33,20,32,28,30,35,41,30,28,32,22,25,23,16,22,15,27
The University of Texas at Austin,36,26,50,39,49,42,48,41,38,43,38,37,41,40,45,52,44,43,38,19,27,24,16,28,19,18
University of California-San Diego,40,13,65,74,61,43,44,41,47,41,57,54,52,45,28,26,41,45,42,34,38,37,24,23,12,14
University of California-Los Angeles,40,28,36,26,43,78,99,91,79,61,56,43,53,43,42,25,30,20,22,24,26,17,22,14,17,16
University of Washington-Seattle Campus,44,53,57,53,43,48,44,44,39,62,46,53,49,50,43,47,38,62,39,35,55,39,36,27,30,20
University of Florida,49,50,44,45,47,68,58,51,71,87,81,86,73,70,47,49,44,50,37,27,32,34,25,28,12,19
University of California-Berkeley,51,63,69,53,50,63,67,56,67,70,62,68,39,58,55,49,53,63,43,43,39,33,46,25,20,13
Total,2905,3029,3134,3125,3112,3123,3153,3154,3200,3213,3193,3192,3158,3004,2963,2875,2890,2817,2718,2641,2614,2572,2526,2475,2378,2369
